,* 참고사항,,,,,,,,,,,,,,,,,,,,,
,* 사우디 국가 제외 유럽+중동 전국가 url 내 accparam 필수 삽입 필요,,,,,,,,,,,,,,,,,,,,,
,* 베스트셀러/스페셜 가격 페이지 리다이렉트로 accparam 유실 > 전 국가 accpram 제외 셋팅,,,,,,,,,,,,,,,,,,,,,
,"* Link 시트 작업 방식",,,,,,,,,,,,,,,,,,,,,
,1. e~i 열 랜딩 url 입력,,,,,,,,,,,,,,,,,,,,,
,2. j~n 열 accparam 적용 여부 o/x 표시,,,,,,,,,,,,,,,,,,,,,
,3. o~s열 히스토리 상세 내역 정리 (e.g 베스트셀러 페이지 리다이렉트되어 파람 제외 등),,,,,,,,,,,,,,,,,,,,,
,4. t~w열 최종 url > utm 시트 내 불러오는 랜딩  / 함수 수정 중,,,,,,,,,,,,,,,,,,,,,
,4-1 j~n열 O일 경우,,,,,,,,,,,,,,,,,,,,,
,"ⓐ e~i열 내 accparam이 없을 경우, 국가에 맞는 accparam 추가",,,,,,,,,,,,,,,,,,,,,
,"ⓑ e~i열 내 accparam 포함되었을 시, e~i열 그대로 가져옴",,,,,,,,,,,,,,,,,,,,,
,4-2 j~n열 X일 경우,,,,,,,,,,,,,,,,,,,,,
,ⓐ e~i열 그대로 가져옴,,,,,,,,,,,,,,?accParam=170,?accParam=1070,?accParam=90,?accParam=80,,?accParam=50,,
,"ⓑ 미운영 시, 미운영 텍스트로 반환",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,수식 걸려있어 수정하지 말것 ,,,,,,,
,프로모션 정보,,,uk,il,de,fr,sa,sg,액파람 활용 여부,,,,,&accParam=170,&accParam=1070,&accParam=90,&accParam=80,,&accParam=50,점검,
,시작일,구분,맵핑값,영국,이스라엘,독일,프랑스,사우디,싱가폴,영국,이스라엘,독일,프랑스,사우디,영국,이스라엘,독일_f_링크,프랑스_f_링크,사우디_f_링크,싱가폴_f_링크,영국,이스라엘
,250701,첫구매 프로모션 2차_tiktok,usual,https://global.oliveyoung.com/event/planning?plndpNo=1529&accParam=170,미운영,미운영,미운영,미운영,미운영,O,X,X,X,X,https://global.oliveyoung.com/event/planning?plndpNo=1529&accParam=170,미운영,미운영,미운영,미운영,#REF!,,
,250501,BANK HOLIDAY SALE,on-site,https://global.oliveyoung.com/event/planning?plndpNo=1396&accParam=170,미운영,https://global.oliveyoung.com/event/planning?plndpNo=1397&accParam=90,https://global.oliveyoung.com/event/planning?plndpNo=1398&accParam=80 ,미운영,미운영,O,X,O,O,X,https://global.oliveyoung.com/event/planning?plndpNo=1396&accParam=170,미운영,https://global.oliveyoung.com/event/planning?plndpNo=1397&accParam=90,https://global.oliveyoung.com/event/planning?plndpNo=1398&accParam=80,미운영,#REF!,,
,250501,썬케어기획전,md-general,https://global.oliveyoung.com/event/planning?plndpNo=1366&accParam=170,미운영,https://global.oliveyoung.com/event/planning?plndpNo=1366&accParam=90,https://global.oliveyoung.com/event/planning?plndpNo=1366&accParam=80,미운영,미운영,O,X,O,O,X,https://global.oliveyoung.com/event/planning?plndpNo=1366&accParam=170,미운영,https://global.oliveyoung.com/event/planning?plndpNo=1366&accParam=90,https://global.oliveyoung.com/event/planning?plndpNo=1366&accParam=80,미운영,#REF!,,
,250501,클렌징 기획전,md-general,https://global.oliveyoung.com/event/planning?plndpNo=1367&accParam=170,미운영,https://global.oliveyoung.com/event/planning?plndpNo=1367&accParam=90,https://global.oliveyoung.com/event/planning?plndpNo=1367&accParam=80,미운영,미운영,O,X,O,O,X,https://global.oliveyoung.com/event/planning?plndpNo=1367&accParam=170,미운영,https://global.oliveyoung.com/event/planning?plndpNo=1367&accParam=90,https://global.oliveyoung.com/event/planning?plndpNo=1367&accParam=80,미운영,#REF!,,
,250501,베스트셀러,usual,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav1,미운영,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav1,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav1,미운영,미운영,X,X,X,X,X,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav1,미운영,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav1,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav1,미운영,#REF!,,
,250502,단일제품형 소재_씨뿌리 헤어 앰플,usual,https://global.oliveyoung.com/product/detail?prdtNo=GA240523586&dataSource=search_result,미운영,https://global.oliveyoung.com/product/detail?prdtNo=GA240523586&dataSource=search_result,https://global.oliveyoung.com/product/detail?prdtNo=GA240523586&dataSource=search_result,미운영,미운영,O,X,O,O,X,https://global.oliveyoung.com/product/detail?prdtNo=GA240523586&dataSource=search_result&accParam=170,미운영,https://global.oliveyoung.com/product/detail?prdtNo=GA240523586&dataSource=search_result&accParam=90,https://global.oliveyoung.com/product/detail?prdtNo=GA240523586&dataSource=search_result&accParam=80,미운영,#REF!,,
,250502,단일제품형 소재_퓌 젤리팟,usual,https://global.oliveyoung.com/product/detail?prdtNo=GA241126736&dataSource=search_result,미운영,https://global.oliveyoung.com/product/detail?prdtNo=GA241126736&dataSource=search_result,https://global.oliveyoung.com/product/detail?prdtNo=GA241126736&dataSource=search_result,미운영,미운영,O,X,O,O,X,https://global.oliveyoung.com/product/detail?prdtNo=GA241126736&dataSource=search_result&accParam=170,미운영,https://global.oliveyoung.com/product/detail?prdtNo=GA241126736&dataSource=search_result&accParam=90,https://global.oliveyoung.com/product/detail?prdtNo=GA241126736&dataSource=search_result&accParam=80,미운영,#REF!,,
,250502,단일제품형 소재_메디힐 마데카소사이드 패드,usual,https://global.oliveyoung.com/product/detail?prdtNo=GA220815950&dataSource=search_result,미운영,미운영,미운영,미운영,미운영,O,X,X,X,X,https://global.oliveyoung.com/product/detail?prdtNo=GA220815950&dataSource=search_result&accParam=170,미운영,미운영,미운영,미운영,#REF!,,
,250502,단일제품형 소재_푸드올로지,membership,https://global.oliveyoung.com/product/detail?prdtNo=GA230418329&dataSource=search_result,미운영,미운영,미운영,미운영,미운영,O,X,X,X,X,https://global.oliveyoung.com/product/detail?prdtNo=GA230418329&dataSource=search_result&accParam=170,미운영,미운영,미운영,미운영,#REF!,,
,250502,단일제품형 소재_닥터엘시아 릴리프 크림,usual,https://global.oliveyoung.com/product/detail?prdtNo=GA241227041&dataSource=search_result,미운영,미운영,미운영,미운영,미운영,O,X,X,X,X,https://global.oliveyoung.com/product/detail?prdtNo=GA241227041&dataSource=search_result&accParam=170,미운영,미운영,미운영,미운영,#REF!,,
